reporting_org_ref,registry_id,org_type,org_name,abbreviation,usability_score,tracker_commit,tracker_spend,latest_txn_year,hq_country,CRS_codes,IATI_organisation_type,IATI_organisation_name,country
XM-OCHA-4438,,,,,,,,,,,,,
IT-CF-80017510225,,,,,,,,,,,,,
XM-OCHA-585,,,,,,,,,,,,,
KVK-27078545,,,,,,,,,,,,,
US-EIN-13-3960591,,,,,,,,,,,,,
GB-COH-10959095,,,,,,,,,,,,,
US-EIN-30-0805768,,,,,,,,,,,,,
NL-KVK-77583442,,,,,,,,,,,,,
GB-COH-05393391,,,,,,,,,,,,,
mam_in,,,,,,,,,,,,,
MZ-NUIT-700089584,,,,,,,,,,,,,
NP-CRO-45995-063-064,,,,,,,,,,,,,
10,,,,,,,,,,,,,
41119,unfpa,Multilateral,UN - Population Fund,UNFPA,C1D2,No,No,2021,,,Multilateral,United Nations Population Fund,UNFPA
XI-IATI-CHE-442.839.246,,,,,,,,,,,,,
44000,worldbank,IFI,World Bank,,C2D2,Yes,Yes,2021,,,Multilateral,The World Bank,World Bank
BE-BCE_KBO-0264814354,enabel,Bilateral,Belgium - Development Agency,, ,,,2020,BE,,Government,Belgian development agency (Enabel),
47045,theglobalfund,Multilateral,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",,C2D2,Yes,Yes,2021,CH,,Multilateral,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Global Fund
CA-4,finance_canada,Bilateral,Canada - Department of Finance,, ,,,2019,CA,,Government,Canada Department of Finance / Minist̬re des Finances Canada,
47122,gavi,Multilateral,"Gavi, the Vaccine Alliance",,C2D1,Yes,Yes,2021,CH,,Public Private Partnership,"Gavi, the vaccine alliance","Gavi, The Vaccine Alliance"
AU-5,ausgov,Bilateral,Australia - Department of  Foreign Affairs and Trade,,C0D1,No,No,2020,AU,801,Government,Australia - Department of  Foreign Affairs and Trade,Australia
CA-3,gac-amc,Bilateral,"Canada - Foreign Affairs, Trade and Development",DFATD,C2D2,Yes,Yes,2021,CA,301*3,Government,Canada - Global Affairs Canada | Affaires mondiales Canada,Canada
CH-4,sdc_ch,Bilateral,Switzerland - Swiss Agency for Development and Cooperation (SDC),,C1D1,Yes,Yes,2020,CH,11*4,Government,Switzerland - Swiss Agency for Development and Cooperation (SDC),Switzerland
DE-1,bmz,Bilateral,Germany - Federal Ministry for Economic Cooperation and Development,BMZ,C2D0,Yes,No,2021,DE,5*1,Government,Germany - Ministry for Economic Cooperation and Development,Germany
ES-DIR3-EA0035768,aecid,Bilateral,Spain - Agency for International Development Cooperation (AECID),,C1D2,Yes,Yes,2021,ES,50*21,Government,Spanish Agency for International Development Cooperation (AECID),Spain
XI-IATI-EC_INTPA,ec-intpa,Bilateral,EC - International Partnerships,, ,,,2021,,,Other Public Sector,European Commission - International Partnerships,European Commission
FI-3,finland_mfa,Bilateral,Finland - Ministry for Foreign Affairs,,C0D2,Yes,Yes,2021,FI,18,Government,Finland - Ministry for Foreign Affairs,Finland
FR-3,afd,Bilateral,France - Agence Francaise de Developpement,AFD ,C0D1,No,No,2021,FR,4*3,Other Public Sector,Agence Fran̤aise de D̩veloppement,France
FR-6,france,Bilateral,France - Ministry for Europe and Foreign Affairs,MEADI,C1D0,No,No,2021,FR,,Government,France - Ministry for Europe and Foreign Affairs,France
GB-CHC-209131,britishcouncil,Bilateral,UK - British Council,, ,Yes,Yes,2021,GB,,Other Public Sector,British Council,UK
GB-GOV-1,fcdo,Bilateral,"UK - Foreign, Commonwealth and Development Office",FCDO,C2D2,No,Yes,2021,GB,12*1,Government,"UK - Foreign, Commonwealth and Development Office",UK
