Destination.Country,odaeligible,year
"Korea, Democratic People's Republic of",ODA-eligible,
Sudan,ODA-eligible,
Angola,ODA-eligible,
South Sudan,ODA-eligible,
Bosnia and Herzegovina,ODA-eligible,
Ethiopia,ODA-eligible,
Syrian Arab Republic,ODA-eligible,
Mali,ODA-eligible,
Liberia,ODA-eligible,
Mauritania,ODA-eligible,
Iraq,ODA-eligible,
Djibouti,ODA-eligible,
Zimbabwe,ODA-eligible,
occupied Palestinian territory,ODA-eligible,
Niger,ODA-eligible,
Kenya,ODA-eligible,
Eritrea,ODA-eligible,
Burkina Faso,ODA-eligible,
Mozambique,ODA-eligible,
Haiti,ODA-eligible,
Pakistan,ODA-eligible,
Chad,ODA-eligible,
Lebanon,ODA-eligible,
Turkey,ODA-eligible,
Jordan,ODA-eligible,
Yemen,ODA-eligible,
China,ODA-eligible,
Serbia and Montenegro (until 2006-2009),ODA-eligible,
Sierra Leone,ODA-eligible,
Somalia,ODA-eligible,
Afghanistan,ODA-eligible,
Central African Republic,ODA-eligible,
Sri Lanka,ODA-eligible,
Cuba,ODA-eligible,
"Congo, The Democratic Republic of the",ODA-eligible,
Bangladesh,ODA-eligible,
Guinea,ODA-eligible,
Philippines,ODA-eligible,
Lao People's Democratic Republic,ODA-eligible,
Myanmar,ODA-eligible,
Ukraine,ODA-eligible,
C̫te d'Ivoire,ODA-eligible,
South Africa,ODA-eligible,
Guatemala,ODA-eligible,
"Bolivia, Plurinational State of",ODA-eligible,
Lesotho,ODA-eligible,
Malawi,ODA-eligible,
Burundi,ODA-eligible,
Colombia,ODA-eligible,
Gambia,ODA-eligible,
Senegal,ODA-eligible,
Nigeria,ODA-eligible,
Cameroon,ODA-eligible,
Uganda,ODA-eligible,
"Moldova, Republic of",ODA-eligible,
Madagascar,ODA-eligible,
Dominican Republic,ODA-eligible,
Tajikistan,ODA-eligible,
India,ODA-eligible,
Uzbekistan,ODA-eligible,
"North Macedonia, Republic of",ODA-eligible,
Nepal,ODA-eligible,
Georgia,ODA-eligible,
Togo,ODA-eligible,
Libya,ODA-eligible,
Tunisia,ODA-eligible,
Honduras,ODA-eligible,
"Tanzania, United Republic of",ODA-eligible,
Egypt,ODA-eligible,
Eswatini,ODA-eligible,
Morocco,ODA-eligible,
Zambia,ODA-eligible,
Palau,ODA-eligible,
Samoa,ODA-eligible,
Congo,ODA-eligible,
Benin,ODA-eligible,
Indonesia,ODA-eligible,
Malaysia,ODA-eligible,
Fiji,ODA-eligible,
Rwanda,ODA-eligible,
Namibia,ODA-eligible,
Mauritius,ODA-eligible,
Guinea-Bissau,ODA-eligible,
Ghana,ODA-eligible,
Cape Verde,ODA-eligible,
Viet Nam,ODA-eligible,
Thailand,ODA-eligible,
Chile,ODA-eligible,
Serbia,ODA-eligible,
Peru,ODA-eligible,
Paraguay,ODA-eligible,
Comoros,ODA-eligible,
Gabon,ODA-eligible,
Oman,Non-ODA eligible,
Mongolia,ODA-eligible,
Kyrgyzstan,ODA-eligible,
Albania,ODA-eligible,
Argentina,ODA-eligible,
Jamaica,ODA-eligible,
Nicaragua,ODA-eligible,
Russian Federation,Non-ODA eligible,
Panama,ODA-eligible,
United States,Non-ODA eligible,
Cambodia,ODA-eligible,
"Iran, Islamic Republic of",ODA-eligible,
El Salvador,ODA-eligible,
Czech Republic,Non-ODA eligible,
Armenia,ODA-eligible,
Algeria,ODA-eligible,
Kazakhstan,ODA-eligible,
Maldives,ODA-eligible,
Papua New Guinea,ODA-eligible,
Bhutan,ODA-eligible,
Solomon Islands,ODA-eligible,
Israel,Non-ODA eligible,
Equatorial Guinea,ODA-eligible,
Bulgaria,Non-ODA eligible,
Belarus,ODA-eligible,
Cyprus,Non-ODA eligible,
Timor-Leste,ODA-eligible,
Brazil,ODA-eligible,
Costa Rica,ODA-eligible,
Mexico,ODA-eligible,
Romania,Non-ODA eligible,
Croatia,Non-ODA eligible,
Mozambique | Malawi | Zambia | Zimbabwe | Lesotho | South Africa | Eswatini,ODA-eligible,
Ecuador,ODA-eligible,
Cook Islands,ODA-eligible,
"Venezuela, Bolivarian Republic of",ODA-eligible,
Dominica,ODA-eligible,
Azerbaijan,ODA-eligible,
Marshall Islands,ODA-eligible,
"Korea, Republic of",Non-ODA eligible,
Germany,Non-ODA eligible,
Slovakia,Non-ODA eligible,
Tonga,ODA-eligible,
Austria,Non-ODA eligible,
Turkey | Egypt | Jordan | Lebanon | Iraq | Syrian Arab Republic,ODA-eligible,
Syrian Arab Republic | Egypt | Turkey | Jordan | Lebanon | Iraq,ODA-eligible,
Saint Lucia,ODA-eligible,
Saint Vincent and the Grenadines,ODA-eligible,
Seychelles,ODA-eligible,
Antigua and Barbuda,ODA-eligible,
Spain,Non-ODA eligible,
Singapore,Non-ODA eligible,
Kuwait,Non-ODA eligible,
Iraq | Syrian Arab Republic | Turkey | Egypt | Jordan | Lebanon,ODA-eligible,
Iraq | Turkey | Egypt | Jordan | Lebanon | Syrian Arab Republic,ODA-eligible,
Slovenia,Non-ODA eligible,
Vanuatu,ODA-eligible,
Guam,Non-ODA eligible,
Australia,Non-ODA eligible,
United Arab Emirates,Non-ODA eligible,
Hungary,Non-ODA eligible,
Tuvalu,ODA-eligible,
Honduras | Guatemala,ODA-eligible,
Barbados,Non-ODA eligible,
"Micronesia, Federated States of",ODA-eligible,
Kiribati,ODA-eligible,
Guatemala | Honduras,ODA-eligible,
Uruguay,ODA-eligible,
Western Sahara,ODA-eligible,
Italy,Non-ODA eligible,
New Caledonia,Non-ODA eligible,
New Zealand,Non-ODA eligible,
Greece,Non-ODA eligible,
Bahamas,Non-ODA eligible,
Switzerland,Non-ODA eligible,
"Taiwan, Province of China",Non-ODA eligible,
South Sudan | Kenya | Sudan | Ethiopia,ODA-eligible,
Japan,Non-ODA eligible,
Saudi Arabia,Non-ODA eligible,
Montenegro,ODA-eligible,
Jordan | Lebanon,ODA-eligible,
Canada,Non-ODA eligible,
Netherlands,Non-ODA eligible,
Belize,ODA-eligible,
Portugal,Non-ODA eligible,
Malta,Non-ODA eligible,
Denmark,Non-ODA eligible,
Belgium,Non-ODA eligible,
Turkey | Lebanon | Jordan | Iraq | Egypt,ODA-eligible,
Sweden,Non-ODA eligible,
Lebanon | Egypt | Turkey | Syrian Arab Republic | Iraq | Jordan,ODA-eligible,
Turkey | Lebanon | Jordan | Egypt | Iraq,ODA-eligible,
United Kingdom,Non-ODA eligible,
Cuba | Jamaica | Bahamas | Haiti,ODA-eligible,
Jordan | Iraq | Turkey | Egypt | Lebanon,ODA-eligible,
Lebanon | Jordan | Turkey | Egypt | Iraq,ODA-eligible,
Lebanon | Egypt | Turkey | Iraq | Jordan,ODA-eligible,
Egypt | Turkey | Jordan | Iraq | Lebanon,ODA-eligible,
Egypt | Iraq | Jordan | Lebanon | Turkey,ODA-eligible,
Jordan | Egypt | Turkey | Iraq | Lebanon,ODA-eligible,
Egypt | Turkey | Iraq | Jordan | Lebanon,ODA-eligible,
Egypt | Turkey | Iraq | Lebanon | Jordan,ODA-eligible,
Egypt | Iraq | Jordan | Lebanon | Syrian Arab Republic | Turkey,ODA-eligible,
Syrian Arab Republic | Lebanon | Jordan,ODA-eligible,
Qatar,Non-ODA eligible,
Jordan | Lebanon | Iraq | Syrian Arab Republic | Turkey | Egypt,ODA-eligible,
Egypt | Iraq | Jordan | Turkey | Lebanon,ODA-eligible,
West Bank | Gaza Strip | occupied Palestinian territory,ODA-eligible,
Iraq | Lebanon | Jordan | Turkey | Egypt,ODA-eligible,
Ireland,Non-ODA eligible,
Lebanon | Jordan | Iraq | Turkey | Egypt,ODA-eligible,
Iraq | Jordan | Turkey | Egypt | Lebanon,ODA-eligible,
Lebanon | Egypt | Turkey | Jordan | Iraq,ODA-eligible,
Lebanon | Jordan,ODA-eligible,
West Bank | occupied Palestinian territory | Gaza Strip,ODA-eligible,
Lebanon | Iraq | Turkey | Jordan | Egypt,ODA-eligible,
Jordan | Turkey | Lebanon,ODA-eligible,
Lebanon | Egypt | Iraq | Jordan | Turkey,ODA-eligible,
Lebanon | Turkey | Jordan | Iraq | Egypt,ODA-eligible,
Lebanon | Jordan | Iraq | Egypt | Turkey,ODA-eligible,
Saint Barth̩lemy (France) | Anguilla (United Kingdom) | Antigua and Barbuda,ODA-eligible,
South Sudan | Uganda | Ethiopia,ODA-eligible,
Niger | Nigeria,ODA-eligible,
Chad | Cameroon,ODA-eligible,
Sint Maarten (Dutch part),Non-ODA eligible,
Antigua and Barbuda | Bahamas | Sint Maarten (Dutch part),ODA-eligible,
Saint Martin (France),Non-ODA eligible,
Saint Kitts and Nevis,Non-ODA eligible,
Sint Maarten (Dutch part) | Bahamas | Antigua and Barbuda | Saint Kitts and Nevis,ODA-eligible,
"Virgin Islands, British | Saint Kitts and Nevis | Turks and Caicos Islands | Sint Maarten (Dutch part) | Saint Martin (France) | Bahamas | Antigua and Barbuda | Anguilla (United Kingdom) | Saint Barth̩lemy (France)",ODA-eligible,
"Anguilla (United Kingdom) | Antigua and Barbuda | Bahamas | Saint Barth̩lemy (France) | Saint Kitts and Nevis | Saint Martin (France) | Sint Maarten (Dutch part) | Turks and Caicos Islands | Virgin Islands, British",ODA-eligible,
Iraq | Sweden,ODA-eligible,
