Destination.Country,odaeligible,year
Saint Kitts and Nevis | Antigua and Barbuda,ODA-eligible,
Chad | Cameroon | Niger | Nigeria,ODA-eligible,
Uganda | Sweden,ODA-eligible,
Antigua and Barbuda | Saint Kitts and Nevis,ODA-eligible,
Sudan | Eritrea,ODA-eligible,
Botswana,ODA-eligible,
Jordan | Iraq | Syrian Arab Republic | Turkey | Egypt | Lebanon,ODA-eligible,
"Sint Maarten (Dutch part) | Saint Kitts and Nevis | Saint BarthÃ©lemy (France) | Virgin Islands, British | Turks and Caicos Islands | Anguilla (United Kingdom) | Bahamas | Antigua and Barbuda | Saint Martin (France)",ODA-eligible,
"Sint Maarten (Dutch part) | Saint Kitts and Nevis | Saint BarthÃ©lemy (France) | Virgin Islands, British | Turks and Caicos Islands | Anguilla (United Kingdom) | Bahamas | Saint Martin (France) | Antigua and Barbuda",ODA-eligible,
"Antigua and Barbuda | Saint Martin (France) | Bahamas | Anguilla (United Kingdom) | Turks and Caicos Islands | Virgin Islands, British | Saint BarthÃ©lemy (France) | Saint Kitts and Nevis | Sint Maarten (Dutch part)",ODA-eligible,
Uruguay | Costa Rica | Argentina | Trinidad and Tobago | Guyana | Peru | Ecuador | Chile | Paraguay | Brazil | Panama | Mexico | Colombia | Dominican Republic | CuraÃ§ao | Aruba,ODA-eligible,
Syrian Arab Republic | Lebanon | Jordan | Iraq,,
"Colombia | Ecuador | Brazil | Venezuela, Bolivarian Republic of",,
"Barbados | Turks and Caicos Islands | Saint Vincent and the Grenadines | Sint Maarten (Dutch part) | Saint Martin (France) | Saint Lucia | Saint Kitts and Nevis | Anguilla (United Kingdom) | Antigua and Barbuda | Bahamas | Bonaire, Saint Eustatius and Saba (The Netherlands) | Virgin Islands, British | Cuba | Dominica | Dominican Republic | Guadeloupe (France) | Haiti | Martinique (France) | Montserrat | Puerto Rico (United States) | Saint BarthÃ©lemy (France)",ODA-eligible,
Mali | Senegal | Gambia | Guinea | Guinea-Bissau,ODA-eligible,
occupied Palestinian territory | Gaza Strip | West Bank,ODA-eligible,
Chad | Cameroon | Nigeria | Niger,ODA-eligible,
Estonia,Non-ODA eligible,
Yemen | Somalia | South Sudan | Nigeria,ODA-eligible,
Somalia | South Sudan | Nigeria,ODA-eligible,
Nigeria | South Sudan | Somalia,ODA-eligible,
Jordan | Lebanon | Iraq | Turkey | Egypt,ODA-eligible,
"Anguilla (United Kingdom) | Antigua and Barbuda | Bahamas | Bonaire, Saint Eustatius and Saba (The Netherlands) | Virgin Islands, British | Cuba | Dominica | Dominican Republic | Guadeloupe (France) | Haiti | Martinique (France) | Montserrat | Puerto Rico (United States) | Saint BarthÃ©lemy (France) | Saint Kitts and Nevis | Saint Lucia | Saint Martin (France) | Sint Maarten (Dutch part) | Saint Vincent and the Grenadines | Turks and Caicos Islands | Barbados",ODA-eligible,
"Barbados | Turks and Caicos Islands | Saint Vincent and the Grenadines | Sint Maarten (Dutch part) | Saint Martin (France) | Saint Lucia | Saint Kitts and Nevis | Saint BarthÃ©lemy (France) | Puerto Rico (United States) | Montserrat | Martinique (France) | Haiti | Guadeloupe (France) | Dominican Republic | Dominica | Cuba | Virgin Islands, British | Bonaire, Saint Eustatius and Saba (The Netherlands) | Bahamas | Antigua and Barbuda | Anguilla (United Kingdom)",ODA-eligible,
Angola | Zambia,ODA-eligible,
Cuba | Dominica,ODA-eligible,
"Iran, Islamic Republic of | Uganda",ODA-eligible,
Morocco | Panama,ODA-eligible,
Uganda | Kenya,ODA-eligible,
Puerto Rico (United States),Non-ODA eligible,
Poland,Non-ODA eligible,
"Bonaire, Saint Eustatius and Saba (The Netherlands) | Bahamas | Antigua and Barbuda | Anguilla (United Kingdom) | Barbados | Turks and Caicos Islands | Saint Vincent and the Grenadines | Sint Maarten (Dutch part) | Saint Martin (France) | Saint Lucia | Saint Kitts and Nevis | Saint BarthÃ©lemy (France) | Puerto Rico (United States) | Montserrat | Martinique (France) | Haiti | Guadeloupe (France) | Dominican Republic | Dominica | Cuba | Virgin Islands, British",ODA-eligible,
Libya | Tunisia,ODA-eligible,
Kyrgyzstan | Tajikistan,ODA-eligible,
South Sudan | Italy,ODA-eligible,
"Congo, The Democratic Republic of the | Sweden",ODA-eligible,
Jordan | Lebanon | Turkey,ODA-eligible,
Chad | Sweden,ODA-eligible,
Turkey | Lebanon | Jordan,ODA-eligible,
Chile | Dominican Republic | Trinidad and Tobago | Argentina | Costa Rica | Mexico | Paraguay | Aruba | CuraÃ§ao | Panama | Brazil | Ecuador | Peru | Colombia | Guyana | Uruguay,ODA-eligible,
Trinidad and Tobago | Peru | Guyana | Ecuador | Colombia | Brazil,ODA-eligible,
Lesotho | Namibia | Eswatini | South Africa | Zambia | Zimbabwe,ODA-eligible,
Trinidad and Tobago,Non-ODA eligible,
Niue,ODA-eligible,
Lebanon | Jordan | Turkey | Iraq | Egypt | Syrian Arab Republic,ODA-eligible,
Anguilla (United Kingdom),Non-ODA eligible,
Lebanon | Turkey | Jordan,ODA-eligible,
Turkey | Jordan | Lebanon,ODA-eligible,
"Congo, The Democratic Republic of the | Rwanda",ODA-eligible,
Djibouti | Ethiopia | Yemen,ODA-eligible,
Guyana,ODA-eligible,
Chile | Dominican Republic | Trinidad and Tobago | Brazil | Ecuador | Peru | Colombia | Guyana | Uruguay | Aruba | CuraÃ§ao | Panama | Argentina | Costa Rica | Mexico | Paraguay,ODA-eligible,
Lebanon | Jordan | Turkey | Iraq | Egypt,ODA-eligible,
Zambia | Angola,ODA-eligible,
Iraq | Turkey | Egypt | Lebanon | Jordan,ODA-eligible,
Sweden | Iraq,ODA-eligible,
"Colombia | Brazil | Venezuela, Bolivarian Republic of",ODA-eligible,
"Colombia | Venezuela, Bolivarian Republic of | Ecuador",ODA-eligible,
Lebanon | Jordan | Turkey,ODA-eligible,
Jordan | Lebanon | Syrian Arab Republic,ODA-eligible,
Turkey | Jordan | Lebanon | Syrian Arab Republic,ODA-eligible,
Lebanon | Sudan | occupied Palestinian territory,ODA-eligible,
Guatemala | Mexico | Honduras,ODA-eligible,
Uruguay | Peru | Panama | Guyana | Paraguay | Dominican Republic | CuraÃ§ao | Costa Rica | Colombia | Chile | Brazil | Aruba | Argentina | Trinidad and Tobago | Mexico | Ecuador,ODA-eligible,
Paraguay | Ecuador | Uruguay | Mexico | Trinidad and Tobago | Peru | Panama | Guyana | Dominican Republic | CuraÃ§ao | Costa Rica | Colombia | Chile | Brazil | Aruba | Argentina,ODA-eligible,
Colombia | Mexico | Uruguay | Argentina | Costa Rica | Ecuador | Peru | Aruba | Chile | CuraÃ§ao | Brazil | Guyana | Trinidad and Tobago | Dominican Republic | Paraguay | Panama,ODA-eligible,
Falkland Islands (Malvinas),ODA-eligible,
CuraÃ§ao | Chile | Dominican Republic | Ecuador | Guyana | Mexico | Panama | Paraguay | Peru | Trinidad and Tobago | Uruguay | Argentina | Brazil | Colombia | Costa Rica | Aruba,ODA-eligible,
Panama | Paraguay | Uruguay | Peru | Mexico | Ecuador | Dominican Republic | CuraÃ§ao | Costa Rica | Colombia | Chile | Brazil | Aruba | Argentina | Trinidad and Tobago | Guyana,ODA-eligible,
Dominican Republic | Ecuador | Guyana | Mexico | Panama | Paraguay | Peru | Trinidad and Tobago | Uruguay | Aruba | CuraÃ§ao | Argentina | Brazil | Chile | Colombia | Costa Rica,ODA-eligible,
"Colombia | Venezuela, Bolivarian Republic of",ODA-eligible,
Aruba,Non-ODA eligible,
CuraÃ§ao,ODA-eligible,
Kenya | Ethiopia | Sudan,ODA-eligible,
Sweden | Afghanistan,ODA-eligible,
Jordan | Iraq | Turkey,ODA-eligible,
Egypt | Jordan | Turkey | Lebanon | Syrian Arab Republic | Iraq,ODA-eligible,
"Kenya | Uganda | Tanzania, United Republic of",ODA-eligible,
Chile | Ecuador | Peru | Aruba | CuraÃ§ao | Panama | Colombia | Guyana | Trinidad and Tobago | Brazil | Dominican Republic | Paraguay | Argentina | Costa Rica | Mexico | Uruguay,ODA-eligible,
Brazil | Dominican Republic | Paraguay | Argentina | Costa Rica | Mexico | Uruguay | Colombia | Guyana | Trinidad and Tobago | Aruba | Chile | CuraÃ§ao | Ecuador | Panama | Peru,ODA-eligible,
Uruguay | Trinidad and Tobago | Peru | Paraguay | Panama | Mexico | Guyana | Ecuador | Dominican Republic | CuraÃ§ao | Costa Rica | Colombia | Chile | Brazil | Aruba | Argentina,ODA-eligible,
Brazil | CuraÃ§ao | Mexico | Trinidad and Tobago | Argentina | Colombia | Ecuador | Paraguay | Aruba | Chile | Costa Rica | Dominican Republic | Guyana | Panama | Peru | Uruguay,ODA-eligible,
Mexico | Costa Rica | Argentina | Uruguay | Paraguay | Dominican Republic | Brazil | Trinidad and Tobago | Guyana | Colombia | Peru | Panama | Ecuador | CuraÃ§ao | Chile | Aruba,ODA-eligible,
"Congo, The Democratic Republic of the | Rwanda | Tanzania, United Republic of | Uganda",ODA-eligible,
Malawi | Mozambique | Zimbabwe,ODA-eligible,
Mozambique | Malawi | Zimbabwe,ODA-eligible,
Malawi | Zimbabwe | Mozambique,ODA-eligible,
Zimbabwe | Mozambique | Malawi,ODA-eligible,
Mozambique | Zimbabwe | Malawi,ODA-eligible,
Argentina | Costa Rica | Aruba | CuraÃ§ao | Brazil | Dominican Republic | Chile | Ecuador | Colombia | Guyana | Mexico | Panama | Paraguay | Peru | Trinidad and Tobago | Uruguay,ODA-eligible,
Brazil | Dominican Republic | Paraguay | Chile | Ecuador | Peru | Colombia | Guyana | Trinidad and Tobago | Argentina | Costa Rica | Mexico | Uruguay | Aruba | CuraÃ§ao | Panama,ODA-eligible,
Egypt | Jordan | Lebanon | Iraq | Syrian Arab Republic | Turkey,ODA-eligible,
Syrian Arab Republic | Turkey,ODA-eligible,
Paraguay | Uruguay | Chile | Argentina | Panama | Mexico | Costa Rica | Trinidad and Tobago | Guyana | Dominican Republic | CuraÃ§ao | Peru | Aruba | Ecuador | Colombia | Brazil,ODA-eligible,
Argentina | Aruba | Brazil | Chile | Colombia | Costa Rica | CuraÃ§ao | Dominican Republic | Ecuador | Guyana | Mexico | Panama | Paraguay | Peru | Trinidad and Tobago | Uruguay,ODA-eligible,
Argentina | Brazil | Colombia | CuraÃ§ao | Ecuador | Mexico | Paraguay | Trinidad and Tobago | Aruba | Chile | Costa Rica | Dominican Republic | Guyana | Panama | Peru | Uruguay,ODA-eligible,
Iraq | Jordan | Syrian Arab Republic | Turkey | Lebanon,ODA-eligible,
Brazil | Colombia | Ecuador | Peru | Aruba | CuraÃ§ao | Dominican Republic | Guyana | Trinidad and Tobago | Costa Rica | Mexico | Panama | Argentina | Chile | Uruguay | Paraguay,ODA-eligible,
Latvia,Non-ODA eligible,
Sweden | Mozambique,ODA-eligible,
Ecuador | Guyana | Argentina | Peru | Trinidad and Tobago | Chile | Aruba | Costa Rica | Uruguay | Brazil | CuraÃ§ao | Mexico | Paraguay | Colombia | Dominican Republic | Panama,ODA-eligible,
Panama | Dominican Republic | Mexico | CuraÃ§ao | Brazil | Aruba | Chile | Trinidad and Tobago | Guyana | Ecuador | Colombia | Uruguay | Peru | Paraguay | Costa Rica | Argentina,ODA-eligible,
Turkey | Egypt | Iraq | Jordan | Lebanon,ODA-eligible,
Burkina Faso | Mali | Chad | Central African Republic,ODA-eligible,
Syrian Arab Republic | Jordan | Lebanon | Iraq | Egypt | Turkey,ODA-eligible,
American Samoa,Non-ODA eligible,
Turkey | Lebanon | Iraq | Egypt | Jordan,ODA-eligible,
Kenya | Somalia,ODA-eligible,
Nicaragua | Guatemala,ODA-eligible,
"Colombia | Bolivia, Plurinational State of",ODA-eligible,
Chile | Trinidad and Tobago | Peru | Argentina | Guyana | Ecuador | Panama | Dominican Republic | Colombia | Paraguay | Mexico | CuraÃ§ao | Brazil | Uruguay | Costa Rica | Aruba,ODA-eligible,
Aruba | Costa Rica | Uruguay | Brazil | CuraÃ§ao | Mexico | Paraguay | Colombia | Dominican Republic | Panama | Ecuador | Guyana | Argentina | Peru | Trinidad and Tobago | Chile,ODA-eligible,
Brazil | Aruba | Costa Rica | Uruguay | Colombia | Dominican Republic | Panama | Ecuador | Guyana | Argentina | Peru | Trinidad and Tobago | Chile | CuraÃ§ao | Mexico | Paraguay,ODA-eligible,
Mozambique | Zimbabwe | Malawi | Comoros,ODA-eligible,
"Venezuela, Bolivarian Republic of | Colombia",ODA-eligible,
Vanuatu | Tonga | Fiji | Solomon Islands | Samoa,ODA-eligible,
Trinidad and Tobago | Peru | Ecuador | Colombia,ODA-eligible,
"Venezuela, Bolivarian Republic of | Colombia | Ecuador",ODA-eligible,
Ecuador | Peru | Colombia,ODA-eligible,
Turkey | Jordan | Lebanon | Iraq | Egypt,ODA-eligible,
Argentina | Aruba | Brazil | Colombia | Mexico | Costa Rica | Dominican Republic | Paraguay | Peru | Ecuador | Panama | Guyana,ODA-eligible,
Argentina | Aruba | Brazil | Colombia | Costa Rica | Dominican Republic | Ecuador | Guyana | Mexico | Panama | Paraguay | Peru,ODA-eligible,
Cook Islands | Fiji,ODA-eligible,
"Venezuela, Bolivarian Republic of | Brazil | Ecuador | Colombia",ODA-eligible,
Dominican Republic | Ecuador | Guyana | Mexico | Panama | Paraguay | Peru | Argentina | Trinidad and Tobago | Brazil | Uruguay | Chile | Aruba | Colombia | CuraÃ§ao | Costa Rica,ODA-eligible,
Costa Rica | Colombia | Chile | Brazil | Argentina | CuraÃ§ao | Aruba | Uruguay | Trinidad and Tobago | Peru | Paraguay | Panama | Mexico | Guyana | Ecuador | Dominican Republic,ODA-eligible,
Guyana | Mexico | Panama | Trinidad and Tobago | Uruguay | Aruba | Brazil | Chile | Colombia | Dominican Republic | Ecuador | Paraguay | Peru | CuraÃ§ao | Argentina | Costa Rica,ODA-eligible,
Paraguay | Uruguay | Trinidad and Tobago | Peru | Panama | Mexico | Guyana | Dominican Republic | Ecuador | CuraÃ§ao | Costa Rica | Colombia | Chile | Brazil | Aruba | Argentina,ODA-eligible,
Argentina | Aruba | Brazil | Chile | Colombia | Costa Rica | CuraÃ§ao | Ecuador | Dominican Republic | Guyana | Mexico | Panama | Peru | Trinidad and Tobago | Uruguay | Paraguay,ODA-eligible,
Lebanon | Jordan | Iraq,ODA-eligible,
Lebanon | Syrian Arab Republic,ODA-eligible,
Syrian Arab Republic | Lebanon | Jordan | occupied Palestinian territory,ODA-eligible,
Trinidad and Tobago | Guyana | Dominican Republic | CuraÃ§ao | Aruba,ODA-eligible,
Iraq | Lebanon,ODA-eligible,
Paraguay | Dominican Republic | Brazil | Uruguay | Mexico | Costa Rica | Argentina | Panama | CuraÃ§ao | Aruba | Peru | Ecuador | Chile | Trinidad and Tobago | Guyana | Colombia,ODA-eligible,
Brazil | CuraÃ§ao | Mexico | Trinidad and Tobago | Chile | Dominican Republic | Panama | Uruguay | Aruba | Costa Rica | Guyana | Peru | Argentina | Colombia | Ecuador | Paraguay,ODA-eligible,
Trinidad and Tobago | Guyana | Colombia | Peru | Ecuador | Chile | Panama | CuraÃ§ao | Aruba | Paraguay | Dominican Republic | Brazil | Uruguay | Mexico | Costa Rica | Argentina,ODA-eligible,
Uruguay | Peru | Panama | Guyana | Paraguay | Dominican Republic | CuraÃ§ao | Brazil | Ecuador | Costa Rica | Argentina | Colombia | Trinidad and Tobago | Chile | Mexico | Aruba,ODA-eligible,
Turkey | Syrian Arab Republic | Lebanon | Jordan,ODA-eligible,
Lebanon | Jordan | Iraq | Syrian Arab Republic,ODA-eligible,
Syrian Arab Republic | Iraq | Jordan | Lebanon,ODA-eligible,
Jordan | Lebanon | Iraq | Syrian Arab Republic,ODA-eligible,
Syrian Arab Republic | Iraq | Lebanon | Jordan,ODA-eligible,
Brazil | Colombia | Ecuador | Aruba | Peru | CuraÃ§ao | Dominican Republic | Guyana | Trinidad and Tobago | Costa Rica | Mexico | Panama | Argentina | Chile | Uruguay | Paraguay,ODA-eligible,
Turkey | Jordan | Iraq | Syrian Arab Republic | Egypt | Lebanon,ODA-eligible,
Comoros | Malawi | Zimbabwe | Mozambique,ODA-eligible,
Peru | Ecuador,ODA-eligible,
Argentina | Aruba | Brazil | Chile | Colombia | Costa Rica | CuraÃ§ao | Panama | Ecuador | Peru | Dominican Republic | Trinidad and Tobago | Guyana | Uruguay | Mexico | Paraguay,ODA-eligible,
Syrian Arab Republic | Lebanon,ODA-eligible,
Lebanon | Turkey | Jordan | Egypt,ODA-eligible,
Somalia | Kenya | Ethiopia,ODA-eligible,
"Ecuador | Colombia | Venezuela, Bolivarian Republic of",ODA-eligible,
Italy | occupied Palestinian territory,ODA-eligible,
"Bolivia, Plurinational State of | Argentina | Aruba | Brazil | Chile | Colombia | Costa Rica | CuraÃ§ao | Dominican Republic | Ecuador | Guyana | Mexico | Panama | Paraguay | Peru | Trinidad and Tobago | Uruguay",ODA-eligible,
"Uruguay | Trinidad and Tobago | Peru | Paraguay | Panama | Mexico | Guyana | Ecuador | Dominican Republic | CuraÃ§ao | Costa Rica | Colombia | Chile | Brazil | Aruba | Argentina | Bolivia, Plurinational State of",ODA-eligible,
"Uruguay | Trinidad and Tobago | Peru | Paraguay | Panama | Mexico | Guyana | Ecuador | Dominican Republic | CuraÃ§ao | Costa Rica | Colombia | Chile | Brazil | Bolivia, Plurinational State of | Aruba | Argentina",ODA-eligible,
"Yemen | Uganda | Tanzania, United Republic of | South Sudan | Somalia | Kenya | Ethiopia | Eritrea | Djibouti",ODA-eligible,
Ethiopia | Somalia | Kenya,ODA-eligible,
Eritrea | South Sudan | Djibouti | Uganda | Ethiopia | Somalia | Kenya,ODA-eligible,
Kenya | Somalia | Ethiopia | Uganda | South Sudan | Eritrea,ODA-eligible,
Ethiopia | Somalia | Kenya | Djibouti | South Sudan | Eritrea,ODA-eligible,
Eritrea | South Sudan | Djibouti | Ethiopia | Somalia | Kenya,ODA-eligible,
Uganda | Eritrea | South Sudan | Djibouti | Somalia | Ethiopia | Kenya,ODA-eligible,
Turkey | Syrian Arab Republic,ODA-eligible,
Grenada,ODA-eligible,
Cayman Islands,Non-ODA eligible,
Turkmenistan,ODA-eligible,
SÃ£o TomÃ© and PrÃ­ncipe,ODA-eligible,
Suriname,ODA-eligible,
Montserrat,ODA-eligible,
"Saint Helena, Ascension and Tristan da Cunha",ODA-eligible,
Norway,Non-ODA eligible,
Turks and Caicos Islands,Non-ODA eligible,
French Polynesia,Non-ODA eligible,
,,
Côte d'Ivoire,,
Iraq | Egypt | Turkey | Jordan | Lebanon,,
